T	Result
200	0
400	0
600	0
800	0
1000	0
1200	0.04
1400	0.26
1600	0.5
1800	0.69
2000	0.76
2200	0.77
2400	0.77
2600	0.77
2800	0.77
3000	0.78
3200	0.78
3400	0.78
3600	0.78
3800	0.78
4000	0.78
4200	0.78
4400	0.78
4600	0.78
4800	0.78
5000	0.78
5200	0.78
5400	0.78
5600	0.78
5800	0.78
6000	0.78
6200	0.78
6400	0.78
6600	0.78
6800	0.78
7000	0.78
7200	0.78
7400	0.78
7600	0.78
7800	0.78
8000	0.78
8200	0.78
8400	0.78
8600	0.78
8800	0.78
9000	0.78
9200	0.78
9400	0.78
9600	0.78
9800	0.78
10000	0.78
10200	0.78
10400	0.78
10600	0.78
10800	0.78
11000	0.78
11200	0.78
11400	0.78
11600	0.78
11800	0.78
12000	0.78
12200	0.78
12400	0.78
12600	0.78
12800	0.78
13000	0.78
13200	0.78
13400	0.78
13600	0.78
13800	0.78
14000	0.78
14200	0.78
14400	0.78
14600	0.78
14800	0.78
15000	0.78
15200	0.78
15400	0.78
15600	0.78
15800	0.78
16000	0.78
16200	0.78
16400	0.78
16600	0.78
16800	0.78
17000	0.78
17200	0.78
17400	0.78
17600	0.78
17800	0.78
18000	0.78
18200	0.78
18400	0.78
18600	0.78
18800	0.78
19000	0.78
19200	0.78
19400	0.78
19600	0.78
19800	0.78
20000	0.78
20200	0.78
20400	0.78
20600	0.78
20800	0.78
21000	0.78
21200	0.78
21400	0.78
21600	0.78
21800	0.78
22000	0.78
22200	0.78
22400	0.78
22600	0.78
22800	0.78
23000	0.78
23200	0.78
23400	0.78
23600	0.78
23800	0.78
24000	0.78
