T	Result
300	0
600	0
900	0
1200	0
1500	0
1800	0
2100	0
2400	0
2700	0
3000	0
3300	0
3600	0
3900	0
4200	0
4500	0
4800	0
5100	0
5400	0
5700	0
6000	0
6300	0
6600	0
6900	0
7200	0
7500	0
7800	0
8100	0
8400	0
8700	0
9000	0
9300	0
9600	0
9900	0
10200	0
10500	0
10800	0
11100	0
11400	0
11700	0
12000	0
12300	0
12600	0
12900	0
13200	0.001
13500	0.002
13800	0.008
14100	0.031
14400	0.074
14700	0.16
15000	0.3
15300	0.461
15600	0.612
15900	0.728
16200	0.814
16500	0.853
16800	0.88
17100	0.905
17400	0.913
17700	0.916
18000	0.919
18300	0.924
18600	0.932
18900	0.94
19200	0.947
19500	0.959
19800	0.973
20100	0.977
20400	0.981
20700	0.988
21000	0.99
21300	0.992
21600	0.994
21900	0.996
22200	0.996
22500	0.997
22800	0.997
23100	0.997
23400	0.997
23700	0.997
24000	0.997
24300	0.997
24600	0.997
24900	0.997
25200	0.997
25500	0.997
25800	0.997
26100	0.997
26400	0.997
26700	0.997
27000	0.998
27300	0.998
27600	0.998
27900	0.998
28200	0.998
28500	0.999
28800	0.999
29100	0.999
29400	0.999
29700	1
30000	1
