T	Result
200	0.0
400	0.0
600	0.0
800	0.17
1000	0.57
1200	0.71
1400	0.74
1600	0.74
1800	0.74
2000	0.74
2200	0.74
2400	0.74
2600	0.74
2800	0.74
3000	0.74
3200	0.74
3400	0.74
3600	0.74
3800	0.74
4000	0.74
4200	0.74
4400	0.74
4600	0.74
4800	0.74
5000	0.74
5200	0.74
5400	0.74
5600	0.74
5800	0.74
6000	0.74
6200	0.74
6400	0.74
6600	0.74
6800	0.74
7000	0.74
7200	0.74
7400	0.74
7600	0.74
7800	0.74
8000	0.74
8200	0.74
8400	0.74
8600	0.74
8800	0.74
9000	0.74
9200	0.74
9400	0.74
9600	0.74
9800	0.74
10000	0.74
10200	0.74
10400	0.74
10600	0.74
10800	0.74
11000	0.74
11200	0.74
11400	0.74
11600	0.74
11800	0.74
12000	0.74
12200	0.74
12400	0.74
12600	0.74
12800	0.74
13000	0.74
13200	0.74
13400	0.74
13600	0.74
13800	0.74
14000	0.74
14200	0.74
14400	0.74
14600	0.74
14800	0.74
15000	0.74
15200	0.74
15400	0.74
15600	0.74
15800	0.74
16000	0.74
16200	0.74
16400	0.74
16600	0.74
16800	0.74
17000	0.74
17200	0.74
17400	0.74
17600	0.74
17800	0.74
18000	0.74
18200	0.74
18400	0.74
18600	0.74
18800	0.74
19000	0.74
19200	0.74
19400	0.74
19600	0.74
19800	0.74
20000	0.74
20200	0.74
20400	0.74
20600	0.74
20800	0.74
21000	0.74
21200	0.74
21400	0.74
21600	0.74
21800	0.74
22000	0.74
22200	0.74
22400	0.74
22600	0.74
22800	0.74
23000	0.74
23200	0.74
23400	0.74
23600	0.74
23800	0.74
24000	0.74
