T	Result
200	0
400	0
600	0.01
800	0.03
1000	0.19
1200	0.32
1400	0.51
1600	0.67
1800	0.72
2000	0.74
2200	0.76
2400	0.77
2600	0.77
2800	0.77
3000	0.77
3200	0.77
3400	0.77
3600	0.77
3800	0.77
4000	0.77
4200	0.77
4400	0.77
4600	0.77
4800	0.77
5000	0.77
5200	0.77
5400	0.77
5600	0.77
5800	0.77
6000	0.77
6200	0.77
6400	0.77
6600	0.77
6800	0.77
7000	0.77
7200	0.77
7400	0.77
7600	0.77
7800	0.77
8000	0.77
8200	0.77
8400	0.77
8600	0.77
8800	0.77
9000	0.77
9200	0.77
9400	0.77
9600	0.77
9800	0.77
10000	0.77
10200	0.77
10400	0.77
10600	0.77
10800	0.77
11000	0.77
11200	0.77
11400	0.77
11600	0.77
11800	0.77
12000	0.77
12200	0.77
12400	0.77
12600	0.77
12800	0.77
13000	0.77
13200	0.77
13400	0.77
13600	0.77
13800	0.77
14000	0.77
14200	0.77
14400	0.77
14600	0.77
14800	0.77
15000	0.77
15200	0.77
15400	0.77
15600	0.77
15800	0.77
16000	0.77
16200	0.77
16400	0.77
16600	0.77
16800	0.77
17000	0.77
17200	0.77
17400	0.77
17600	0.77
17800	0.77
18000	0.77
18200	0.77
18400	0.77
18600	0.77
18800	0.77
19000	0.77
19200	0.77
19400	0.77
19600	0.77
19800	0.77
20000	0.77
20200	0.77
20400	0.77
20600	0.77
20800	0.77
21000	0.77
21200	0.77
21400	0.77
21600	0.77
21800	0.77
22000	0.77
22200	0.77
22400	0.77
22600	0.77
22800	0.77
23000	0.77
23200	0.77
23400	0.77
23600	0.77
23800	0.77
24000	0.77
