T	Result
200	0
400	0
600	0
800	0
1000	0
1200	0
1400	0
1600	0
1800	0
2000	0
2200	0
2400	0
2600	0
2800	0
3000	0
3200	0
3400	0
3600	0
3800	0
4000	0
4200	0
4400	0
4600	0
4800	0
5000	0
5200	0
5400	0
5600	0
5800	0
6000	0
6200	0
6400	0
6600	0
6800	0
7000	0
7200	0
7400	0
7600	0
7800	0
8000	0
8200	0
8400	0
8600	0
8800	0
9000	0
9200	0
9400	0
9600	0
9800	0
10000	0
10200	0
10400	0
10600	0
10800	0
11000	0
11200	0
11400	0
11600	0
11800	0
12000	0
12200	0
12400	0
12600	0
12800	0
13000	0
13200	0
13400	0.01
13600	0.014
13800	0.02
14000	0.034
14200	0.06
14400	0.096
14600	0.164
14800	0.24
15000	0.306
15200	0.4
15400	0.49
15600	0.556
15800	0.636
16000	0.726
16200	0.788
16400	0.822
16600	0.85
16800	0.876
17000	0.89
17200	0.912
17400	0.922
17600	0.926
17800	0.94
18000	0.942
18200	0.956
18400	0.962
18600	0.974
18800	0.976
19000	0.978
19200	0.982
19400	0.982
19600	0.984
19800	0.986
20000	0.99
20200	0.992
20400	0.992
20600	0.996
20800	0.996
21000	0.996
21200	0.996
21400	0.996
21600	0.996
21800	0.996
22000	0.996
22200	0.996
22400	0.996
22600	0.996
22800	0.996
23000	0.996
23200	0.996
23400	0.996
23600	0.996
23800	0.996
24000	0.996
