300	0.0
600	0.0
900	0.0
1200	0.0
1500	0.0
1800	0.004
2100	0.101
2400	0.369
2700	0.667
3000	0.853
3300	0.942
3600	0.977
3900	0.987
4200	0.995
4500	0.997
4800	0.998
5100	0.999
5400	0.999
5700	0.999
6000	0.999
6300	0.999
6600	0.999
6900	0.999
7200	0.999
7500	0.999
7800	0.999
8100	0.999
8400	0.999
8700	0.999
9000	0.999
9300	0.999
9600	0.999
9900	0.999
10200	0.999
10500	0.999
10800	0.999
11100	0.999
11400	0.999
11700	0.999
12000	0.999
12300	0.999
12600	0.999
12900	0.999
13200	0.999
13500	0.999
13800	0.999
14100	0.999
14400	0.999
14700	0.999
15000	0.999
15300	0.999
15600	0.999
15900	0.999
16200	0.999
16500	0.999
16800	0.999
17100	0.999
17400	0.999
17700	0.999
18000	0.999
