300	0.0
600	0.0
900	0.0
1200	0.0
1500	0.0
1800	0.0
2100	0.0
2400	0.011
2700	0.096
3000	0.301
3300	0.52
3600	0.702
3900	0.823
4200	0.896
4500	0.949
4800	0.971
5100	0.98
5400	0.99
5700	0.996
6000	0.997
6300	0.998
6600	0.999
6900	1.0
7200	1.0
7500	1.0
7800	1.0
8100	1.0
8400	1.0
8700	1.0
9000	1.0
9300	1.0
9600	1.0
9900	1.0
10200	1.0
10500	1.0
10800	1.0
11100	1.0
11400	1.0
11700	1.0
12000	1.0
12300	1.0
12600	1.0
12900	1.0
13200	1.0
13500	1.0
13800	1.0
14100	1.0
14400	1.0
14700	1.0
15000	1.0
15300	1.0
15600	1.0
15900	1.0
16200	1.0
16500	1.0
16800	1.0
17100	1.0
17400	1.0
17700	1.0
18000	1.0
