DRONES: 
193.0964039767808,Task-2,0.6617725780378473,false,false,false,true
2.6156923080985286,Task-35,0.7178258897978218,false,false,false,true
31.816375551045244,Task-34,0.7842425913779659,false,false,false,true
14.600132737054157,Task-29,0.8780419720824643,true,false,true,true
15.09346915802835,Task-4,0.6607069006561784,false,false,false,true
TASKS: 
Task-2,314.9738742281223
Task-3,417.1507023220888
Task-4,352.49707376789036
Task-5,551.0795630293057
Task-6,549.3941020046981
Task-7,405.3274019460383
Task-8,510.14366931347723
Task-9,651.661128020054
Task-10,797.3607398484288
Task-11,679.6519983378674
Task-12,550.2571457363601
Task-13,644.861755326826
Task-14,538.0290405930498
Task-15,566.1900341569179
Task-16,639.8522838378047
Task-17,390.540221734067
Task-18,548.3755807925704
Task-19,648.9443722153924
Task-20,768.6173651509414
Task-21,687.1763233045837
Task-22,787.2005986852854
Task-23,882.5385086448423
Task-24,929.6261289269215
Task-25,691.1905347529822
Task-26,1029.1965233102737
Task-27,583.2276042651825
Task-28,478.30541703465263
Task-29,369.8180771848181
Task-31,738.3137523007646
Task-32,845.1930194268399
Task-33,980.5285352087701
Task-34,335.5706573604808
Task-35,360.0293701749575
Task-39,902.5803281118834
Task-40,571.0975257225406
