0, 53.0, 53.00, 53.00, 1360 
1, 48.0, 50.50, 50.50, 1336 
2, 57.0, 52.67, 52.67, 1334 
3, 50.0, 52.00, 52.00, 1303 
4, 54.0, 52.40, 52.40, 1325 
5, 51.0, 52.17, 52.17, 1153 
6, 39.0, 50.29, 50.29, 1168 
7, 60.0, 51.50, 51.50, 1230 
8, 50.0, 51.33, 51.33, 1183 
9, 58.0, 52.00, 52.00, 1172 
0, 46.0, 46.00, 46.00, 1358 
1, 52.0, 49.00, 49.00, 52749 
0, 46.0, 46.00, 46.00, 1950 
