3.0, 3.02, .75, NaN, NaN, NaN
4.0, 3.59, .90, NaN, NaN, NaN
3.0, 3.62, .91, NaN, NaN, NaN
4.0, 3.84, .96, NaN, NaN, NaN
3.0, 3.62, .91, NaN, NaN, NaN
4.0, 3.85, .96, NaN, NaN, NaN
4.0, 3.83, .96, NaN, NaN, NaN
4.0, 3.75, .94, NaN, NaN, NaN
4.0, 3.87, .97, NaN, NaN, NaN
4.0, 3.86, .97, NaN, NaN, NaN
4.0, 3.85, .96, NaN, NaN, NaN
3.0, 3.92, .98, NaN, NaN, NaN
3.0, 3.87, .97, NaN, NaN, NaN
4.0, 3.84, .96, NaN, NaN, NaN
4.0, 3.84, .96, NaN, NaN, NaN
10.0, 10.13, .79, .76, NaN, NaN
13.0, 10.86, .82, .75, NaN, NaN
11.0, 10.77, .85, .76, NaN, NaN
14.0, 12.76, .83, .94, NaN, NaN
15.0, 12.95, .85, .95, NaN, NaN
13.0, 13.11, .84, .97, NaN, NaN
15.0, 13.13, .85, .97, NaN, NaN
13.0, 13.36, .85, .98, NaN, NaN
14.0, 12.99, .84, .97, NaN, NaN
14.0, 12.99, .83, .96, NaN, NaN
13.0, 12.87, .85, .95, NaN, NaN
12.0, 13.20, .85, .96, NaN, NaN
14.0, 13.06, .85, .97, NaN, NaN
13.0, 12.75, .84, .95, NaN, NaN
13.0, 13.06, .83, .97, NaN, NaN
14.0, 13.18, .86, .96, NaN, NaN
14.0, 13.10, .83, .96, NaN, NaN
13.0, 13.10, .85, .97, NaN, NaN
14.0, 13.06, .86, .96, NaN, NaN
11.0, 11.83, .72, .96, NaN, NaN
12.0, 11.24, .73, .94, NaN, NaN
9.0, 11.76, .78, .95, NaN, NaN
12.0, 12.36, .78, .98, NaN, NaN
16.0, 13.61, .89, .94, NaN, NaN
14.0, 13.92, .89, .96, NaN, NaN
12.0, 13.99, .89, .96, NaN, NaN
14.0, 13.78, .89, .96, NaN, NaN
13.0, 13.57, .83, .97, NaN, NaN
11.0, 13.56, .89, .95, NaN, NaN
11.0, 13.97, .90, .97, NaN, NaN
14.0, 13.60, .90, .95, NaN, NaN
14.0, 13.89, .88, .98, NaN, NaN
