3.0, 2.98, .74, NaN, NaN, NaN
3.0, 3.02, .75, NaN, NaN, NaN
3.0, 2.99, .75, NaN, NaN, NaN
3.0, 2.98, .74, NaN, NaN, NaN
3.0, 3.02, .76, NaN, NaN, NaN
3.0, 2.98, .74, NaN, NaN, NaN
3.0, 2.85, .71, NaN, NaN, NaN
3.0, 3.00, .75, NaN, NaN, NaN
2.0, 2.50, .62, NaN, NaN, NaN
3.0, 2.97, .74, NaN, NaN, NaN
3.0, 2.93, .73, NaN, NaN, NaN
3.0, 2.99, .75, NaN, NaN, NaN
3.0, 2.98, .74, NaN, NaN, NaN
3.0, 3.04, .76, NaN, NaN, NaN
4.0, 3.01, .75, NaN, NaN, NaN
8.0, 8.72, .67, .75, NaN, NaN
10.0, 8.93, .70, .74, NaN, NaN
10.0, 9.04, .70, .73, NaN, NaN
10.0, 9.22, .71, .73, NaN, NaN
9.0, 8.98, .63, .75, NaN, NaN
9.0, 8.88, .70, .74, NaN, NaN
10.0, 9.42, .71, .75, NaN, NaN
10.0, 9.46, .72, .75, NaN, NaN
9.0, 8.64, .61, .76, NaN, NaN
9.0, 8.71, .68, .76, NaN, NaN
7.0, 8.51, .65, .74, NaN, NaN
9.0, 8.65, .67, .75, NaN, NaN
11.0, 9.76, .78, .75, NaN, NaN
9.0, 9.82, .75, .75, NaN, NaN
10.0, 9.95, .76, .75, NaN, NaN
9.0, 9.84, .75, .74, NaN, NaN
10.0, 9.80, .75, .75, NaN, NaN
10.0, 10.24, .76, .75, NaN, NaN
9.0, 9.56, .73, .74, NaN, NaN
10.0, 9.82, .71, .76, NaN, NaN
8.0, 9.71, .76, .75, NaN, NaN
11.0, 9.82, .78, .73, NaN, NaN
10.0, 10.04, .78, .74, NaN, NaN
10.0, 9.59, .74, .75, NaN, NaN
11.0, 9.69, .74, .76, NaN, NaN
10.0, 9.13, .73, .73, NaN, NaN
11.0, 9.76, .75, .76, NaN, NaN
10.0, 9.32, .72, .73, NaN, NaN
10.0, 9.60, .74, .75, NaN, NaN
9.0, 9.38, .79, .73, NaN, NaN
9.0, 9.94, .77, .73, NaN, NaN
11.0, 10.22, .78, .75, NaN, NaN
9.0, 8.76, .73, .70, NaN, NaN
10.0, 9.66, .72, .75, NaN, NaN
10.0, 10.08, .81, .75, NaN, NaN
10.0, 10.30, .80, .75, NaN, NaN
11.0, 9.80, .80, .72, NaN, NaN
7.0, 10.28, .79, .75, NaN, NaN
13.0, 10.28, .81, .76, NaN, NaN
11.0, 10.99, .86, .76, NaN, NaN
7.0, 10.74, .85, .75, NaN, NaN
15.0, 9.46, .87, .65, NaN, NaN
14.0, 13.06, .86, .95, NaN, NaN
14.0, 13.35, .86, .97, NaN, NaN
13.0, 12.88, .85, .92, NaN, NaN
11.0, 13.01, .85, .96, NaN, NaN
14.0, 13.50, .90, .95, NaN, NaN
14.0, 13.79, .90, .95, NaN, NaN
15.0, 14.14, .92, .97, NaN, NaN
10.0, 13.95, .91, .96, NaN, NaN
14.0, 14.06, .91, .96, NaN, NaN
12.0, 13.88, .90, .95, NaN, NaN
15.0, 13.79, .91, .94, NaN, NaN
14.0, 14.11, .92, .98, NaN, NaN
15.0, 14.05, .91, .97, NaN, NaN
15.0, 14.05, .88, .97, NaN, NaN
14.0, 13.81, .91, .96, NaN, NaN
15.0, 13.94, .88, .97, NaN, NaN
14.0, 14.00, .89, .96, NaN, NaN
15.0, 14.33, .94, .96, NaN, NaN
15.0, 14.78, .95, .96, NaN, NaN
13.0, 14.60, .96, .96, NaN, NaN
15.0, 14.38, .96, .95, NaN, NaN
12.0, 15.10, .96, .98, NaN, NaN
14.0, 14.77, .95, .97, NaN, NaN
16.0, 14.86, .97, .96, NaN, NaN
16.0, 14.57, .95, .95, NaN, NaN
15.0, 14.79, .97, .96, NaN, NaN
15.0, 14.10, .96, .92, NaN, NaN
12.0, 14.73, .95, .96, NaN, NaN
12.0, 14.94, .97, .97, NaN, NaN
12.0, 14.98, .93, .97, NaN, NaN
16.0, 14.76, .96, .96, NaN, NaN
16.0, 14.94, .98, .97, NaN, NaN
15.0, 14.79, .98, .95, NaN, NaN
15.0, 14.65, .95, .96, NaN, NaN
16.0, 14.50, .98, .93, NaN, NaN
16.0, 15.00, .97, .98, NaN, NaN
16.0, 14.80, .98, .95, NaN, NaN
15.0, 14.64, .96, .97, NaN, NaN
15.0, 15.00, .96, .98, NaN, NaN
12.0, 14.65, .96, .95, NaN, NaN
15.0, 14.87, .97, .96, NaN, NaN
11.0, 14.59, .94, .95, NaN, NaN
16.0, 14.33, .96, .92, NaN, NaN
11.0, 14.36, .96, .94, NaN, NaN
16.0, 14.97, .97, .97, NaN, NaN
10.0, 14.61, .95, .96, NaN, NaN
15.0, 14.79, .95, .97, NaN, NaN
