3.0, 3.02, .76, NaN, NaN, NaN
1.0, 1.24, .31, NaN, NaN, NaN
3.0, 3.00, .75, NaN, NaN, NaN
3.0, 2.93, .73, NaN, NaN, NaN
3.0, 3.86, .96, NaN, NaN, NaN
4.0, 3.78, .95, NaN, NaN, NaN
4.0, 3.89, .97, NaN, NaN, NaN
3.0, 3.83, .96, NaN, NaN, NaN
4.0, 3.90, .97, NaN, NaN, NaN
4.0, 3.88, .97, NaN, NaN, NaN
4.0, 3.80, .95, NaN, NaN, NaN
4.0, 3.87, .97, NaN, NaN, NaN
4.0, 3.87, .97, NaN, NaN, NaN
4.0, 3.89, .97, NaN, NaN, NaN
4.0, 3.80, .95, NaN, NaN, NaN
11.0, 7.16, .80, .49, NaN, NaN
10.0, 10.65, .82, .76, NaN, NaN
12.0, 9.95, .79, .75, NaN, NaN
13.0, 12.68, .81, .95, NaN, NaN
13.0, 12.99, .83, .97, NaN, NaN
13.0, 13.35, .82, .99, NaN, NaN
14.0, 13.39, .84, .96, NaN, NaN
11.0, 13.22, .81, .95, NaN, NaN
13.0, 13.34, .83, .97, NaN, NaN
14.0, 13.42, .83, .97, NaN, NaN
13.0, 13.22, .83, .97, NaN, NaN
14.0, 12.09, .80, .97, NaN, NaN
11.0, 13.28, .82, .97, NaN, NaN
14.0, 13.30, .84, .98, NaN, NaN
14.0, 13.14, .83, .96, NaN, NaN
14.0, 13.40, .86, .97, NaN, NaN
15.0, 14.07, .89, .96, NaN, NaN
15.0, 14.15, .89, .97, NaN, NaN
15.0, 14.14, .87, .98, NaN, NaN
14.0, 14.00, .86, .95, NaN, NaN
15.0, 14.00, .90, .96, NaN, NaN
15.0, 14.27, .90, .98, NaN, NaN
15.0, 13.95, .89, .96, NaN, NaN
15.0, 14.01, .90, .96, NaN, NaN
15.0, 14.26, .91, .98, NaN, NaN
15.0, 14.08, .88, .98, NaN, NaN
15.0, 14.20, .90, .97, NaN, NaN
15.0, 14.19, .88, .97, NaN, NaN
15.0, 14.18, .89, .97, NaN, NaN
15.0, 13.96, .88, .96, NaN, NaN
15.0, 14.07, .85, .97, NaN, NaN
15.0, 14.30, .89, .98, NaN, NaN
15.0, 14.19, .87, .97, NaN, NaN
14.0, 14.04, .88, .97, NaN, NaN
13.0, 13.70, .78, .98, NaN, NaN
12.0, 12.15, .75, .95, NaN, NaN
14.0, 12.35, .78, .94, NaN, NaN
14.0, 13.81, .94, .98, NaN, NaN
15.0, 14.60, .93, .95, NaN, NaN
16.0, 14.75, .94, .96, NaN, NaN
16.0, 15.13, .95, .98, NaN, NaN
16.0, 14.90, .96, .97, NaN, NaN
16.0, 14.63, .90, .96, NaN, NaN
16.0, 15.04, .96, .97, NaN, NaN
16.0, 15.08, .96, .98, NaN, NaN
16.0, 14.78, .94, .97, NaN, NaN
16.0, 14.89, .95, .97, NaN, NaN
12.0, 14.79, .92, .97, NaN, NaN
16.0, 14.90, .93, .97, NaN, NaN
16.0, 14.75, .94, .96, NaN, NaN
16.0, 15.34, .97, .99, NaN, NaN
16.0, 14.80, .95, .97, NaN, NaN
16.0, 14.96, .93, .97, NaN, NaN
15.0, 14.93, .95, .96, NaN, NaN
14.0, 14.95, .94, .97, NaN, NaN
15.0, 15.09, .92, .99, NaN, NaN
16.0, 15.13, .95, .97, NaN, NaN
16.0, 15.05, .95, .97, NaN, NaN
14.0, 15.26, .96, .98, NaN, NaN
14.0, 14.77, .93, .96, NaN, NaN
15.0, 15.16, .94, .98, NaN, NaN
16.0, 15.03, .96, .97, NaN, NaN
13.0, 14.70, .91, .96, NaN, NaN
16.0, 14.86, .95, .97, NaN, NaN
15.0, 15.04, .94, .97, NaN, NaN
12.0, 14.86, .95, .96, NaN, NaN
15.0, 14.75, .94, .96, NaN, NaN
11.0, 14.90, .93, .97, NaN, NaN
12.0, 14.82, .94, .96, NaN, NaN
14.0, 14.98, .94, .97, NaN, NaN
15.0, 14.98, .96, .96, NaN, NaN
11.0, 15.15, .95, .97, NaN, NaN
15.0, 15.24, .94, .98, NaN, NaN
15.0, 14.88, .93, .96, NaN, NaN
15.0, 14.62, .92, .97, NaN, NaN
16.0, 14.87, .94, .97, NaN, NaN
15.0, 14.65, .94, .96, NaN, NaN
15.0, 14.87, .94, .96, NaN, NaN
